BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;0;0,6223512;5,382969E-08;0
0;1;2;0,4610095;5,221219E-09;0
0;2;4;0,4272275;1,669068E-07;0
0;3;6;0,3785796;4,330909E-07;0
0;4;1;0,4201059;3,327349E-07;0
0;5;3;0,3724747;3,107566E-07;0
0;6;5;0,4328232;2,391618E-07;0
1;7;5;0,4031105;4,321511E-07;0
1;8;6;0,3564348;1,339443E-07;0
1;9;4;0,3895721;3,278255E-08;0
1;10;3;0,3860149;2,889947E-07;0
1;11;0;0,3916569;2,72136E-07;0
1;12;1;0,4391413;1,685874E-07;0
1;13;2;0,4132729;3,783645E-07;0
2;14;1;0,4166155;9,536742E-08;0
2;15;5;0,4893332;3,874301E-08;0
2;16;2;0,4273357;1,358242E-07;0
2;17;0;0,4377708;4,55781E-07;0
2;18;6;0,4338474;2,00715E-07;0
2;19;4;0,4072094;2,765729E-07;0
2;20;3;0,4544115;1,66893E-07;0
