BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;2;5.242907;0.9944961;0
0;1;3;4.767769;1.145874;0
0;2;6;4.966431;1.143558;0
0;3;1;5.296051;0.9325079;0
0;4;5;4.578693;0.9816768;0
0;5;0;4.362419;0.8382319;0
0;6;4;4.792606;1.12269;0
1;7;5;4.301369;0.8429994;0
1;8;1;4.856621;0.9585455;0
1;9;6;4.569992;0.9106407;0
1;10;4;3.777161;0.9155167;0
1;11;0;4.587509;1.104049;0
1;12;2;4.741783;0.9965253;0
1;13;3;5.099098;0.8431913;0
2;14;6;5.533318;1.227297;0
2;15;3;4.846741;0.9894969;0
2;16;2;4.614799;1.148198;0
2;17;5;5.815369;0.9394109;0
2;18;0;4.889122;0.909538;0
2;19;4;5.388832;0.9789773;0
2;20;1;6.416351;2.65078;0
