BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;6;2.598945;1.116642;0
0;1;2;4.860393;1.951074;0
0;2;3;31.67721;6.564557;0
0;3;5;4.44014;5.051151;0
0;4;4;4.184776;3.800403;0
0;5;0;4.175789;3.485602;0
0;6;1;12.48811;6.21999;0
1;7;3;5.626869;4.154228;0
1;8;2;5.980148;5.75999;0
1;9;6;5.361794;5.359752;0
1;10;5;3.864777;1.925176;0
1;11;1;4.318329;4.491781;0
1;12;0;3.93586;3.581858;0
1;13;4;3.295845;3.005663;0
2;14;5;15.71996;15.8699;0
2;15;3;3.24556;1.325974;0
2;16;2;4.356934;1.670525;0
2;17;1;3.070801;1.189841;0
2;18;6;3.852249;1.912576;0
2;19;4;3.192535;1.365227;0
2;20;0;3.271835;1.04965;0
