BlockID;TrialID;Config;PositionTarget;PositionFinal;RotationTarget;RotationFinal
0;0;6;(1.11, -0.16, 3.48);(-0.70, 1.59, -2.24);212,802;212,802
0;1;10;(0.43, 1.51, 2.59);(0.43, 1.51, -2.57);90,1412;145,0779
