BlockID;TrialID;Config;Position
0;0;0;(-1.68, -1.08, -1.27)
0;1;2;(2.74, -1.70, -1.69)
0;2;1;(-0.63, 0.07, 3.71)
1;3;2;(1.68, -1.66, 0.86)
