BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;2;3.171282;0.4300115;0
0;1;1;4.562059;0.7084256;0
0;2;0;4.098005;0.5736573;0
0;3;5;4.314825;0.8466941;0
0;4;4;3.120937;0.5093431;0
0;5;3;2.775089;0.5202694;0
0;6;6;3.778202;0.956021;0
1;7;4;4.233704;0.6747798;0
1;8;6;4.009842;0.6361835;0
1;9;2;4.076172;0.3119701;0
1;10;0;2.934441;0.4210123;0
1;11;1;4.982819;0.5023253;0
1;12;3;3.543945;0.490189;0
1;13;5;3.47644;0.8953804;0
2;14;6;2.398033;0.5313002;0
2;15;1;3.889191;0.357964;0
2;16;5;3.141716;0.5630535;0
2;17;4;5.110092;1.115387;0
2;18;2;3.688858;0.5118891;0
2;19;0;3.176796;0.4137062;0
2;20;3;4.81842;0.9207056;0
