BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;3;25.01305;5.68084;0
0;1;6;7.221466;15.54309;0
0;2;2;7.903664;1.749097;0
0;3;0;5.590752;1.692964;0
0;4;1;5.679657;2.158884;0
0;5;5;4.120247;1.162298;0
0;6;4;6.897202;2.871996;0
1;7;0;5.672379;1.331509;0
1;8;4;4.35379;1.347957;0
1;9;1;5.284958;0.8687388;0
1;10;5;4.612198;1.217829;0
1;11;2;6.337296;1.90094;0
1;12;3;8.103607;2.047156;0
1;13;6;7.503342;2.142595;0
2;14;5;9.598892;4.391067;0
2;15;2;3.589508;14.15825;0
2;16;4;3.841003;1.914947;0
2;17;0;4.985474;1.205214;0
2;18;1;5.083389;1.433141;0
2;19;3;4.597504;1.616663;0
2;20;6;4.577454;25.84017;0
