BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;5;3.327264;1.169318;0
0;1;6;2.827414;1.129996;0
0;2;0;2.617229;0.7551804;0
0;3;2;2.730251;0.8343141;0
0;4;1;2.98509;0.7996078;0
0;5;3;3.781725;1.102751;0
0;6;4;2.758492;1.172639;0
1;7;6;2.940584;1.489846;0
1;8;2;2.615173;1.47877;0
1;9;3;2.692822;0.9553992;0
1;10;0;2.583435;0.9695007;0
1;11;5;3.682182;2.1132;0
1;12;1;5.144344;3.278573;0
1;13;4;4.368607;5.693077;0
2;14;0;3.182213;3.551737;0
2;15;5;2.545979;1.974831;0
2;16;2;2.811638;1.881924;0
2;17;3;3.39743;2.845989;0
2;18;6;2.795387;1.411379;0
2;19;4;2.37468;2.172241;0
2;20;1;2.533173;1.638509;0
