BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;1;0,9051789;6,663997E-07;0
0;1;3;0,4852662;2,040628E-07;0
0;2;5;0,4766939;1,54972E-07;0
0;3;2;0,3692017;2,723614E-07;0
0;4;2;0,4979849;1,907348E-07;0
0;5;2;0,444417;3,712868E-07;0
0;6;6;0,6601448;5,248917E-07;0
0;7;6;0,7453771;3,271237E-07;0
0;8;0;0,4120312;3,623012E-07;0
0;9;4;0,4073486;2,67415E-07;0
1;10;6;0,4629908;2,697412E-07;0
1;11;3;0,5285721;4,76837E-08;0
1;12;5;0,5311155;1,192093E-08;0
1;13;4;0,4712744;1,907348E-07;0
1;14;1;0,4225082;1,311302E-07;0
1;15;2;0,4366426;5,960463E-08;0
1;16;0;0,5402842;0;0
2;17;2;1,20863;8,106226E-07;0
2;18;1;2,097258;1,064869E-06;0
2;19;0;0,4465828;1,227571E-07;0
2;20;5;0,4441147;1,958733E-07;0
BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;3;0,7405713;5,960464E-09;0
0;1;4;0,5023453;0;0
0;2;1;0,8343;3,576276E-07;0
0;3;2;1,218841;7,119485E-07;0
0;4;0;0,4573479;1,54972E-07;0
0;5;5;0,3848219;2,248442E-07;0
0;6;6;0,3444471;2,552114E-08;0
1;7;3;0,3726411;3,761941E-07;0
1;8;2;0,3847389;1,66893E-07;0
1;9;0;0,3414726;2,145767E-07;0
1;10;5;0,3793697;2,877444E-07;0
1;11;1;0,363595;5,960463E-08;0
1;12;4;0,355114;1,074739E-07;0
1;13;6;0,311121;1,109497E-07;0
2;14;4;0,3061256;7,86001E-08;0
2;15;6;0,2831602;2,682209E-08;0
2;16;2;0,3415785;5,364417E-08;0
2;17;0;0,3928375;3,126184E-07;0
2;18;5;0,3228045;1,907348E-07;0
2;19;1;0,3592892;3,708922E-07;0
2;20;3;0,3267384;2,13248E-07;0
