BlockID;TrialID;Config;Position
0;0;1;(-3.13, -0.90, -3.80)
0;1;2;(2.10, 0.71, 3.07)
0;2;0;(1.52, -0.54, -0.98)
1;3;1;(-2.97, -1.15, 0.85)
1;4;0;(-1.28, -0.81, -1.96)
1;5;2;(3.13, -0.22, 1.00)
2;6;2;(-3.20, 1.53, -1.52)
2;7;0;(1.34, -0.43, -0.64)
2;8;1;(-2.39, -0.45, 2.24)
