BlockID;Frame;StopWatch;PosX;PosY;PosZ
0;0;0,03166127;-2,5519;0,1880;2,7560
0;1;0,0701437;-2,5519;0,1880;2,7560
0;2;0,1095283;-2,5519;0,1880;2,7560
0;3;0,1434336;-2,5519;0,1880;2,7560
0;4;0,177568;-2,5519;0,1880;2,7560
0;5;0,2220688;-2,5519;0,1880;2,7560
0;6;0,2602465;-2,5519;0,1880;2,7560
0;7;0,2940223;-2,5519;0,1880;2,7560
0;8;0,3392677;-2,5519;0,1880;2,7560
0;9;0,3861403;-2,5519;0,1880;2,7560
0;10;0,4202106;-2,5519;0,1880;2,7560
0;11;0,4563577;-2,5519;0,1880;2,7560
0;12;0,4929292;-2,5519;0,1880;2,7560
0;13;0,5376365;-2,5519;0,1880;2,7560
0;14;0,5726287;-2,5519;0,1880;2,7560
0;15;0,6077147;-2,5519;0,1880;2,7560
0;16;0,6415524;-2,5519;0,1880;2,7560
0;17;0,6761041;-2,5519;0,1880;2,7560
0;18;0,7228799;-2,5519;0,1880;2,7560
0;19;0,7641907;-2,5519;0,1880;2,7560
0;20;0,801868;-2,5519;0,1880;2,7560
0;21;0,8443356;-2,5519;0,1880;2,7560
0;22;0,8905873;-2,5519;0,1880;2,7560
0;23;0,9343591;-2,5519;0,1880;2,7560
0;24;0,9789624;-2,5519;0,1880;2,7560
0;25;1,01091;-2,5519;0,1880;2,7560
0;26;1,050294;-2,5519;0,1880;2,7560
0;27;1,088311;-2,5519;0,1880;2,7560
0;28;1,159554;-2,5519;0,1880;2,7560
0;29;1,199542;-2,5519;0,1880;2,7560
0;30;1,245177;-2,5519;0,1880;2,7560
0;31;1,284896;-2,5519;0,1880;2,7560
0;32;1,317726;-2,5519;0,1880;2,7560
0;33;1,349735;-2,5519;0,1880;2,7560
0;34;1,390384;-2,5519;0,1880;2,7560
0;35;1,424818;-2,5519;0,1880;2,7560
0;36;1,459115;-2,5519;0,1880;2,7560
0;37;1,493281;-2,5519;0,1880;2,7560
0;38;1,525842;-2,5519;0,1880;2,7560
0;39;1,566891;-2,5519;0,1880;2,7560
0;40;1,598391;-2,5519;0,1880;2,7560
0;41;1,632754;-2,5519;0,1880;2,7560
0;42;1,663494;-2,5519;0,1880;2,7560
0;43;1,694009;-2,5520;0,1880;2,7560
0;44;1,734317;-2,5520;0,1880;2,7560
0;45;1,765125;-2,5520;0,1880;2,7560
0;46;1,798402;-2,5520;0,1880;2,7560
0;47;1,82948;-2,5520;0,1880;2,7560
0;48;1,861519;-2,5520;0,1880;2,7560
0;49;1,902775;-2,5520;0,1880;2,7560
