BlockID;TrialID;Config;Position
0;0;2;(-2.46, -0.72, 4.26)
0;1;1;(-4.30, -0.88, 1.02)
0;2;0;(4.33, 0.93, 2.32)
1;3;1;(3.85, -0.33, -4.74)
