BlockID;TrialID;Config;Position
0;0;0;(0.39, 0.90, 2.08)
0;1;1;(-2.31, -1.41, 4.87)
0;2;2;(-3.66, -0.30, 2.61)
1;3;0;(1.95, -0.01, -0.60)
1;4;2;(-4.81, 1.88, 4.37)
1;5;1;(-2.91, 1.41, -2.71)
2;6;1;(4.76, 0.03, -1.82)
2;7;0;(3.78, 0.08, -4.50)
2;8;2;(-3.33, -1.72, 1.09)
