BlockID;TrialID;Config;StopWatch
0;0;1;3.78064
0;1;0;1.630798
0;2;2;14.30299
1;3;2;2.804192
1;4;0;1.101715
1;5;1;0.9048462
2;6;1;1.11348
2;7;0;1.013458
2;8;2;0.7947235
3;9;2;0.8870239
3;10;1;0.8240509
3;11;0;1.112274
4;12;0;1.051163
4;13;2;3.769043
4;14;1;0.3787384
5;15;2;10.85796
5;16;0;1.222702
5;17;1;1.001205
6;18;2;2.669022
6;19;1;1.16832
6;20;0;1.338257
7;21;1;0.9507751
7;22;0;0.8387299
7;23;2;1.865372
8;24;1;12.91777
8;25;2;2.678467
8;26;0;1.696808
9;27;0;1.728363
9;28;1;0.7502899
9;29;2;1.02121
10;30;0;1.075668
10;31;1;0.868454
10;32;2;12.22188
11;33;1;1.229034
11;34;0;0.863739
11;35;2;1.521103
12;36;0;0.8779602
12;37;2;6.184982
12;38;1;0.9827576
13;39;2;0.9670563
13;40;0;0.9537659
13;41;1;0.9491425
14;42;2;0.9167023
14;43;0;1.129608
14;44;1;0.9071808
15;45;0;0.7817841
15;46;1;0.6942139
15;47;2;0.978302
16;48;0;0.8779449
16;49;2;2.962143
16;50;1;1.142838
17;51;0;0.9126892
17;52;1;0.8020935
17;53;2;1.638
18;54;1;0.8660889
18;55;2;2.843079
18;56;0;0.9968567
19;57;2;0.9480591
19;58;1;1.096634
19;59;0;0.9143372
