BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;3;9.578697;4.273803;0
0;1;0;26.08188;6.295622;0
0;2;4;16.09814;2.536873;0
0;3;5;9.137512;1.431232;0
0;4;1;11.68383;1.748682;0
0;5;6;6.553307;1.560165;0
0;6;2;8.651855;0.9805112;0
1;7;6;7.282959;1.042889;0
1;8;1;3.824951;0.5391596;0
1;9;3;5.891266;0.5780188;0
1;10;2;6.949539;0.7929691;0
1;11;5;21.59818;0.7159395;0
1;12;4;25.77449;2.156342;0
1;13;0;7.013992;0.517643;0
2;14;0;5.524048;0.3783578;0
2;15;4;15.15227;1.380304;0
2;16;5;11.82166;1.189736;0
2;17;3;6.727417;0.5149517;0
2;18;6;39.04825;3.317383;0
2;19;2;4.490784;1.985449;0
2;20;1;14.50253;1.887782;0
