BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;2;6.432665;1.632569;0
0;1;3;4.111847;0.839025;0
0;2;4;3.948984;0.7361786;0
0;3;1;5.807785;0.8152936;0
0;4;0;3.2365;0.700494;0
0;5;5;4.075619;0.6091535;0
0;6;6;3.622746;0.8571343;0
1;7;4;9.361046;1.237949;0
1;8;1;7.447445;0.8760282;0
1;9;2;5.681091;1.289068;0
1;10;6;13.60729;1.367582;0
1;11;0;5.685524;1.005194;0
1;12;5;5.661385;1.141188;0
1;13;3;3.868767;0.9517097;0
2;14;2;8.944969;1.257385;0
2;15;6;16.44423;2.184039;0
2;16;5;10.38976;1.923863;0
2;17;0;5.554001;1.210639;0
2;18;3;5.153473;0.6833737;0
2;19;1;6.352341;0.764046;0
2;20;4;4.876709;0.887664;0
