BlockID;TrialID;Config;Position
0;0;0;(3.08, -1.48, 2.58)
0;1;2;(-2.23, -0.03, 2.60)
0;2;1;(2.99, 1.34, 3.25)
1;3;0;(-0.98, -0.29, 3.62)
