BlockID;TrialID;Config;Position
0;0;2;(2.35, 1.32, -1.22)
0;1;1;(3.21, -1.70, 2.26)
0;2;0;(2.76, 1.51, -2.87)
1;3;1;(2.66, 0.77, -3.43)
1;4;0;(2.53, 0.03, 3.68)
1;5;2;(0.40, 1.73, 0.78)
