BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;3;5.219427;1.13313;0
0;1;5;3.880947;0.8635091;0
0;2;6;3.153221;1.052775;0
0;3;1;4.430458;1.805545;0
0;4;2;4.625633;0.9732957;0
0;5;0;4.666019;1.6053;0
0;6;4;5.263779;1.041196;0
1;7;5;4.39481;0.7927105;0
1;8;0;4.744987;1.572343;0
1;9;1;4.032631;1.815025;0
1;10;3;4.210457;1.170455;0
1;11;6;4.08046;1.141931;0
1;12;2;4.362274;1.71816;0
1;13;4;4.5159;1.345033;0
2;14;0;3.890396;1.261718;0
2;15;5;4.177452;1.513919;0
2;16;3;6.634102;6.377574;0
2;17;1;3.533813;1.174461;0
2;18;6;3.629715;1.076304;0
2;19;4;3.728065;1.310205;0
2;20;2;3.718544;0.9079747;0
