BlockID;TrialID;Config;StopWatch
0;0;0;0,8896501
0;1;1;0,4736862
0;2;2;0,3879631
0;3;3;0,3489652
0;4;4;0,3810153
0;5;5;0,4446716
0;6;6;0,3828211
0;7;7;0,35286
0;8;8;0,3924303
0;9;9;0,3806987
0;10;10;0,3834319
0;11;11;0,352674
0;12;12;0,3899722
0;13;13;0,3273153
0;14;14;0,3574638
0;15;15;0,3344402
0;16;16;0,4375839
0;17;17;0,39293
0;18;18;0,3945732
0;19;19;0,3124247
0;20;20;0,3368015
0;21;21;0,3349648
0;22;22;0,3606148
0;23;23;0,315484
0;24;24;0,3438625
0;25;25;0,3349628
0;26;26;0,314394
0;27;27;0,3159485
0;28;28;0,3383617
0;29;29;0,3614025
0;30;30;0,3896294
0;31;31;0,4819298
0;32;32;0,3360023
0;33;33;0,3450317
0;34;34;0,3959732
0;35;35;0,4225254
0;36;36;0,4342194
0;37;37;0,4160328
0;38;38;0,5003738
0;39;39;0,4570274
0;40;40;0,5417767
0;41;41;0,3900547
0;42;42;0,4868374
0;43;43;0,3588085
0;44;44;0,4298
1;45;0;0,4524536
1;46;1;0,3916206
1;47;2;0,4467316
1;48;3;0,4644661
1;49;4;0,4318199
1;50;5;0,4160042
1;51;6;0,4440098
1;52;7;0,422596
1;53;8;0,539341
1;54;9;0,4505787
1;55;10;0,4077492
1;56;11;0,4414406
1;57;12;0,4973831
1;58;13;0,5151672
1;59;14;0,4529877
1;60;15;0,4822712
1;61;16;0,4210587
1;62;17;0,4754829
1;63;18;0,4318314
1;64;19;0,3964233
1;65;20;0,3981972
1;66;21;0,3859062
1;67;22;0,4880829
1;68;23;0,4575272
1;69;24;0,3482437
1;70;25;0,3493233
1;71;26;0,3912926
1;72;27;0,4000473
1;73;28;0,3340378
1;74;29;0,3718948
1;75;30;0,3808327
1;76;31;0,3308868
1;77;32;0,4331741
1;78;33;0,3774986
1;79;34;0,3636246
1;80;35;0,3795853
1;81;36;0,418602
1;82;37;0,4114952
1;83;38;0,401474
1;84;39;0,3675995
1;85;40;0,4273949
1;86;41;0,4218025
1;87;42;0,4315033
1;88;43;0,4479675
1;89;44;0,4237785
2;90;0;0,5003128
2;91;1;0,4696083
2;92;2;0,4053802
2;93;3;0,434948
2;94;4;0,4166031
2;95;5;0,4161072
2;96;6;0,5123405
2;97;7;0,4797249
2;98;8;0,4763336
2;99;9;0,4451065
2;100;10;0,3658524
2;101;11;0,4503021
2;102;12;0,393856
2;103;13;0,3858414
2;104;14;0,4100037
2;105;15;0,3859138
2;106;16;0,4125557
2;107;17;0,4160004
2;108;18;0,4087181
2;109;19;0,3319855
2;110;20;0,4116516
2;111;21;0,3897552
2;112;22;0,4019051
2;113;23;0,4072762
2;114;24;0,4143906
2;115;25;0,4278336
2;116;26;0,3801842
2;117;27;0,4590645
2;118;28;0,4375992
2;119;29;0,369091
2;120;30;0,3888626
2;121;31;0,4176903
2;122;32;0,3989601
2;123;33;0,4179726
2;124;34;0,4111023
2;125;35;0,4486542
2;126;36;0,4236603
2;127;37;0,3944321
2;128;38;0,4474564
2;129;39;0,4037933
2;130;40;0,4550247
2;131;41;0,4546432
2;132;42;0,4229279
2;133;43;0,4610062
2;134;44;0,4865417
