BlockID;TrialID;Config;StopWatch
0;0;0;1,0505
0;1;1;0,6873689
0;2;2;0,6466146
0;3;3;0,5649614
0;4;4;0,5362506
0;5;5;0,5809574
0;6;6;0,5063863
0;7;7;0,4989204
0;8;8;0,5246053
0;9;9;0,4871578
0;10;10;0,4787683
0;11;11;0,1971874
0;12;12;0,2656355
0;13;13;0,1929951
0;14;14;0,1683989
0;15;15;0,1228056
0;16;16;0,1546793
0;17;17;0,07455635
0;18;18;0,1190577
0;19;19;0,1184263
0;20;20;0,1494188
0;21;21;0,1389523
0;22;22;0,1114922
0;23;23;0,1183853
0;24;24;0,1193066
0;25;25;0,1187963
0;26;26;0,1200733
0;27;27;0,1177301
0;28;28;0,1193848
0;29;29;0,1327772
0;30;30;0,1192961
0;31;31;0,4455271
0;32;32;0,2097788
0;33;33;0,2140217
0;34;34;0,2075024
0;35;35;0,1670713
0;36;36;0,1880569
0;37;37;0,1914921
0;38;38;0,1872978
0;39;39;0,1880913
0;40;40;0,1667404
0;41;41;0,1219006
0;42;42;0,1327438
0;43;43;0,09090614
0;44;44;0,1217346
1;45;0;0,1360111
1;46;1;0,1329937
1;47;2;0,1704712
1;48;3;0,131731
1;49;4;0,08740425
1;50;5;0,1783657
1;51;6;0,1148415
1;52;7;0,02994156
1;53;8;0,102499
1;54;9;0,02806282
1;55;10;0,0666008
1;56;11;0,08055878
1;57;12;0,03458023
1;58;13;0,0669651
1;59;14;0,06494141
1;60;15;0,1023808
1;61;16;0,03288269
1;62;17;0,1213093
1;63;18;0,02884102
1;64;19;0,110075
1;65;20;0,06324768
1;66;21;0,03731918
1;67;22;0,08618164
1;68;23;0,07336426
1;69;24;0,0678997
1;70;25;0,074543
1;71;26;0,4669151
1;72;27;0,1912212
1;73;28;0,1678314
1;74;29;0,1641026
1;75;30;0,1460171
1;76;31;0,156435
1;77;32;0,1580029
1;78;33;0,4948311
1;79;34;0,2476234
1;80;35;0,1761932
1;81;36;0,114872
1;82;37;0,1948547
1;83;38;0,1771774
1;84;39;0,1197224
1;85;40;0,1508198
1;86;41;0,1388664
1;87;42;0,112648
1;88;43;0,1509781
1;89;44;0,1644421
2;90;0;0,07406425
2;91;1;0,1586742
2;92;2;0,4649048
2;93;3;0,1442871
2;94;4;0,1143227
2;95;5;0,1775494
2;96;6;0,3803062
2;97;7;0,181736
2;98;8;0,9530029
2;99;9;0,1831551
2;100;10;0,6650658
2;101;11;0,5824165
2;102;12;0,3644753
2;103;13;0,4177017
2;104;14;0,3938522
2;105;15;0,2654762
2;106;16;0,2866249
2;107;17;0,3468246
2;108;18;0,2835388
2;109;19;0,2407837
2;110;20;0,2405701
2;111;21;0,2410622
2;112;22;0,2507286
2;113;23;0,3069725
2;114;24;0,2472267
2;115;25;0,2539024
2;116;26;0,2722969
2;117;27;0,2666435
2;118;28;0,2040253
2;119;29;0,3171005
2;120;30;0,6441193
2;121;31;0,3486481
2;122;32;0,2135811
2;123;33;0,2412529
2;124;34;0,5203743
2;125;35;0,4596443
2;126;36;0,4629784
2;127;37;0,4136238
2;128;38;0,3760033
2;129;39;0,2790375
2;130;40;0,3078194
2;131;41;0,2744865
2;132;42;0,3340302
2;133;43;0,3127594
2;134;44;0,1848221
