BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;3;0,9231952;0;0
0;1;4;0,507458;0;0
0;2;0;0,4827511;0;0
0;3;1;0,4022074;0;0
0;4;5;0,3602405;0;0
0;5;6;0,338728;0;0
0;6;2;0,3065681;0;0
1;7;0;0,4340463;0;0
1;8;6;0,3359265;0;0
1;9;3;0,2872624;0;0
1;10;5;0,3000336;0;0
1;11;1;0,2800589;0;0
1;12;2;0,2356577;0;0
1;13;4;0,2517548;0;0
2;14;5;0,2700844;0;0
2;15;0;0,1805944;0;0
2;16;6;0,2456026;0;0
2;17;4;0,165307;0;0
2;18;1;0,4101181;0;0
2;19;2;0,2614737;0;0
2;20;3;0,2466717;0;0
BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;6;1,115546;0;0
0;1;3;0,4676042;0;0
