BlockID;TrialID;Config;StopWatch
0;0;0;2.394089
0;1;1;2.833691
0;2;2;1.706867
1;3;2;0.7645111
1;4;0;2.131702
1;5;1;1.507824
2;6;2;2.935593
2;7;0;2.145493
2;8;1;1.323723
3;9;0;3.397011
3;10;1;1.046494
3;11;2;1.558067
4;12;2;0.7164612
4;13;1;1.337593
4;14;0;0.9875717
5;15;1;1.50267
5;16;2;2.213188
5;17;0;1.140648
6;18;2;1.189514
6;19;0;1.061432
6;20;1;1.60479
7;21;2;1.048851
7;22;0;1.085243
7;23;1;1.394569
8;24;1;1.176224
8;25;2;1.624901
8;26;0;1.46479
9;27;0;1.069717
9;28;1;0.9481888
9;29;2;0.9673233
10;30;2;1.085571
10;31;1;0.9194641
10;32;0;1.40918
11;33;0;1.198494
11;34;1;0.9095688
11;35;2;0.5686874
12;36;2;1.526604
12;37;0;1.986206
12;38;1;1.369949
13;39;2;0.6098557
13;40;0;1.36705
13;41;1;1.108131
14;42;1;1.384277
14;43;0;1.306885
14;44;2;1.818085
15;45;1;1.44017
15;46;0;1.402222
15;47;2;1.497505
16;48;0;1.51355
16;49;2;1.503876
16;50;1;1.472557
17;51;0;1.376877
17;52;2;1.094131
17;53;1;1.470566
18;54;2;0.6339569
18;55;0;1.055206
18;56;1;1.016129
19;57;1;1.059647
19;58;2;1.051254
19;59;0;1.740891
