BlockID;TrialID;Config;Position
0;0;2;(3.51, 0.00, 0.89)
0;1;1;(-1.73, -0.06, 3.81)
0;2;0;(2.68, 0.30, 1.33)
1;3;2;(0.89, 0.21, -2.49)
1;4;0;(1.67, -0.02, -1.73)
1;5;1;(-0.40, 0.05, -3.68)
2;6;2;(1.64, 0.18, 2.82)
2;7;1;(2.01, 0.32, 3.74)
