BlockID;TrialID;Config;Position
0;0;0;(-2.17, -1.40, -4.47)
0;1;2;(-0.93, -1.43, -2.70)
0;2;1;(2.08, -1.43, 0.85)
1;3;0;(2.86, -0.05, -3.53)
1;4;2;(2.51, -1.38, -1.67)
1;5;1;(2.59, 0.04, 4.14)
