BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;3;7.259918;2.945532;0
0;1;5;4.518162;4.552729;0
0;2;6;5.287197;6.736164;0
0;3;2;4.095146;0.8548884;0
0;4;0;4.676727;1.392979;0
0;5;4;4.096523;1.393989;0
0;6;1;3.614342;0.6968;0
1;7;0;4.373123;1.361513;0
1;8;1;3.356873;1.62588;0
1;9;4;3.45256;1.195;0
1;10;5;4.850983;1.251172;0
1;11;6;3.618721;1.956749;0
1;12;3;3.076469;1.402576;0
1;13;2;4.523499;1.246439;0
2;14;1;3.373436;0.6929197;0
2;15;3;5.929741;3.75784;0
2;16;4;3.808723;1.061191;0
2;17;0;3.824303;1.761697;0
2;18;6;4.385551;1.081089;0
2;19;5;4.297447;1.553933;0
2;20;2;4.117302;1.634041;0
