BlockID;TrialID;Config;StopWatch;AccDistance;AccAngle
0;0;3;3.436018;0.8241416;0
0;1;5;3.965373;0.6527066;0
0;2;2;2.943323;0.6099866;0
0;3;0;2.295109;0.3589258;0
0;4;6;2.652958;0.8388517;0
0;5;4;3.582424;0.7824424;0
0;6;1;3.793314;0.5787997;0
1;7;3;2.544804;0.3654078;0
1;8;5;2.911076;0.6318343;0
1;9;4;3.741436;0.9146487;0
1;10;2;4.910164;0.9057502;0
1;11;1;2.856148;0.3566113;0
1;12;0;2.709915;0.5216402;0
1;13;6;3.342541;0.5160899;0
2;14;3;3.349056;0.5658156;0
2;15;6;4.078079;0.6309547;0
2;16;2;2.979202;0.6310403;0
2;17;0;2.999252;0.7159286;0
2;18;5;1.89624;0.3799527;0
2;19;4;3.02726;1.001018;0
2;20;1;3.833755;0.6519099;0
