BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;3;0.2196;0.5146;-0.8442;1.7522;0.5266;-0.9920;1.9142;88.78622;88.78622
0;1;6;0.1578;-1.4926;0.6786;3.4766;-1.4005;0.5527;3.5000;58.71884;58.71884
0;2;2;0.2421;2.2714;1.2386;-2.4967;2.3846;1.4000;-2.3561;356.4373;356.4373
0;3;1;3.1777;-0.9691;-0.8575;0.5018;1.2334;1.3571;1.0869;309.2792;309.2792
0;4;4;0.2218;-0.0981;-0.5625;3.0684;-0.1989;-0.6199;3.2574;105.2328;105.2328
0;5;0;2.5509;-0.9771;0.0290;1.9801;-3.0000;0.7366;3.3637;190.4041;190.4041
0;6;5;0.1776;-0.6751;0.6408;-1.3517;-0.5354;0.7056;-1.2633;91.11419;91.11419
1;7;4;0.1192;1.9750;0.6144;-2.3725;2.0509;0.6581;-2.4534;76.61372;76.61372
1;8;3;0.6070;-2.6331;-0.3708;-0.6697;-3.0000;-0.8491;-0.5977;288.3283;288.3283
1;9;2;0.1850;2.9526;-0.4346;2.9911;2.8371;-0.3154;2.9092;108.9133;108.9133
1;10;6;0.1932;0.6064;-1.2142;-1.9216;0.7183;-1.2217;-1.7643;231.8959;231.8959
1;11;5;4.2220;-2.8394;1.3301;0.9751;1.3277;0.6519;0.9486;101.1411;101.1411
1;12;1;5.3267;-1.1115;0.8742;0.9999;1.7484;1.1780;-3.4837;204.3329;204.3329
1;13;0;3.9078;0.2657;0.2767;-2.8976;-2.7403;-0.8960;-0.6932;185.7817;185.7817
2;14;4;0.1307;-0.2617;0.9606;-1.8517;-0.2759;0.9203;-1.9752;253.404;253.404
2;15;5;0.4841;2.5286;0.5163;0.4643;2.7926;0.9136;0.3811;159.3821;159.3821
2;16;1;3.5460;-1.1463;-0.4423;-3.0290;-0.8975;-0.4177;0.5081;26.91521;26.91521
2;17;0;0.0932;-1.7095;-1.1246;3.2594;-1.7905;-1.1686;3.2454;262.5008;262.5008
2;18;2;0.4675;0.0022;-1.1718;-1.3347;0.2979;-0.8189;-1.4155;227.3932;227.3932
2;19;6;0.2933;-0.7996;0.8129;-0.2139;-0.5252;0.8173;-0.3175;197.6099;197.6099
2;20;3;2.2202;-0.0711;0.6091;-0.5997;-2.2259;0.2459;-0.9924;175.6348;175.6348
