BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;3;0.5551;-1.0222;-0.3463;-1.8069;-0.8409;0.1780;-1.8278;349.6811;349.6811
0;1;2;0.4867;2.9876;-1.3678;-3.1933;3.4076;-1.1259;-3.1490;33.35643;33.35643
0;2;4;0.4000;-0.3379;0.6327;-0.3388;-0.5395;0.2873;-0.3466;313.5199;313.5199
0;3;1;4.5875;-0.2935;0.4113;-3.3680;1.3049;0.5995;0.9280;72.50844;72.50844
0;4;5;0.3242;-2.7925;1.2793;3.0046;-3.0979;1.1734;2.9782;72.18945;72.18945
0;5;0;0.2174;-2.6643;0.9355;3.3816;-2.6319;0.7335;3.4551;195.3445;195.3445
0;6;6;0.2342;-2.0993;-1.2635;0.6748;-2.1386;-1.0335;0.6540;123.7136;123.7136
1;7;6;0.5002;2.0832;-0.0998;-1.3981;1.7695;-0.4893;-1.4107;85.84978;85.84978
1;8;0;0.2082;-2.6210;1.0943;2.9839;-2.6636;0.9168;3.0841;65.11846;65.11846
1;9;2;0.5057;0.3099;0.8259;1.2789;0.1015;0.4122;1.4817;124.2091;124.2091
1;10;5;1.7856;1.0052;-0.9720;-0.4260;1.0907;0.6930;-1.0656;107.2264;107.2264
1;11;1;4.2241;1.1658;-0.3409;-0.6636;-1.0196;-0.6192;2.9406;164.5658;164.5658
1;12;4;0.2147;1.5620;-0.9434;-2.0651;1.6935;-0.7756;-2.0905;359.3272;359.3272
1;13;3;0.2390;2.6096;-1.0006;2.4072;2.7781;-0.8405;2.4627;1.385779;1.385779
2;14;5;4.4679;1.1867;1.3121;1.4854;1.3274;-0.2719;-2.6900;272.9033;272.9033
2;15;3;0.2145;1.1009;0.3030;-0.3543;1.2760;0.1807;-0.3737;174.4624;174.4624
2;16;0;1.2665;0.9653;-0.0940;1.6516;1.7595;0.7130;1.0842;217.0022;217.0022
2;17;2;0.3277;1.3668;-0.1020;-2.5588;1.1013;-0.2432;-2.4287;280.066;280.066
2;18;1;2.0643;-0.1963;0.7585;1.1333;-0.8078;-0.4078;2.7230;54.09934;54.09934
2;19;4;0.1499;1.7065;0.9751;1.3113;1.5973;0.9529;1.2110;152.0067;152.0067
2;20;6;0.3206;-2.3096;0.1180;-1.2628;-2.5180;-0.1253;-1.2756;0.07733345;0.07733345
