BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;6;0.9958;-1.5605;-0.2592;2.1986;-1.1110;0.6092;2.3872;270.7853;270.7853
0;1;5;0.2916;0.7915;-0.6239;0.2848;0.7260;-0.5909;0.5670;8.271503;8.271503
0;2;4;0.5814;-2.8451;-0.5009;1.6659;-2.9148;-1.0023;1.9519;213.6998;213.6998
0;3;2;1.1611;-2.6731;0.7874;1.5755;-3.0947;-0.2876;1.6964;269.1485;269.1485
0;4;3;0.6972;2.7715;0.3120;-2.1701;2.4135;-0.2007;-1.8617;324.6417;324.6417
0;5;0;0.9649;2.9628;1.0747;0.7340;2.8605;0.1153;0.7279;338.4725;338.4725
0;6;1;0.3663;1.2437;-1.2562;-2.3377;1.5380;-1.1606;-2.5336;141.086;141.086
1;7;4;0.2515;2.8144;-1.2934;2.5602;2.9547;-1.4826;2.6484;226.711;226.711
1;8;0;0.8645;-2.5899;-0.3711;1.7243;-2.3224;0.4449;1.8242;310.2687;310.2687
1;9;6;0.9559;-0.0660;1.2929;-2.9782;-0.1723;0.3793;-2.7178;21.79044;21.79044
1;10;1;1.1162;-1.2175;1.2127;-3.4323;-1.2482;0.1021;-3.3254;75.81931;75.81931
1;11;3;0.2569;-2.5814;-1.1536;2.0270;-2.4555;-1.3772;2.0388;17.81179;17.8118
1;12;5;1.3172;2.1145;0.7724;2.8468;1.9173;-0.5224;2.9869;38.77444;38.77444
1;13;2;0.5368;2.3756;0.7452;2.7748;2.3781;0.2199;2.6641;227.5618;227.5618
2;14;5;0.2250;2.0339;-0.6716;2.2024;1.9981;-0.5822;1.9990;95.16364;95.16364
2;15;2;0.5238;2.3235;-0.5511;-2.1232;2.5184;-0.0837;-2.2574;128.6202;128.6202
2;16;6;0.3999;-0.9866;-0.9816;-3.2659;-0.6098;-0.9866;-3.3996;141.9487;141.9487
2;17;4;0.8038;2.4648;0.1676;3.3449;2.2862;-0.6133;3.4119;38.3667;38.3667
2;18;1;0.4674;1.3214;0.3277;-1.7367;1.5374;-0.0584;-1.5862;306.5737;306.5737
2;19;0;0.3932;-1.6260;0.1086;-0.2027;-1.5648;-0.1005;0.1246;88.0858;88.0858
2;20;3;1.2480;2.9541;-0.5702;-1.5079;3.4875;0.5435;-1.6883;274.012;274.012
