BlockID;Frame;StopWatch;PosX;PosY;PosZ
0;0;0,0421524;0,03;-0,18;-0,06
0;1;0,08880997;0,03;-0,18;-0,06
0;2;0,1258659;0,03;-0,18;-0,06
0;3;0,1506042;0,03;-0,18;-0,06
0;4;0,1771879;0,03;-0,18;-0,06
0;5;0,2034845;0,03;-0,18;-0,06
0;6;0,2409267;0,03;-0,18;-0,06
0;7;0,26583;0,03;-0,18;-0,06
0;8;0,2914467;0,03;-0,18;-0,06
0;9;0,3162966;0,03;-0,18;-0,06
0;10;0,3446894;0,03;-0,18;-0,06
0;11;0,371047;0,03;-0,18;-0,06
0;12;0,4083014;0,03;-0,18;-0,06
0;13;0,4349728;0,03;-0,18;-0,06
0;14;0,4615993;0,03;-0,18;-0,06
0;15;0,4879932;0,03;-0,18;-0,06
0;16;0,5152111;0,03;-0,18;-0,06
0;17;0,5416746;0,03;-0,18;-0,06
0;18;0,5787392;0,03;-0,18;-0,06
0;19;0,6052103;0,03;-0,18;-0,06
0;20;0,6342249;0,03;-0,18;-0,06
0;21;0,667738;0,03;-0,18;-0,06
0;22;0,7417231;0,03;-0,18;-0,06
0;23;0,7821808;0,03;-0,18;-0,06
0;24;0,8110104;0,03;-0,18;-0,06
0;25;0,8488522;0,03;-0,18;-0,06
0;26;0,8906212;0,03;-0,18;-0,06
0;27;0,9232998;0,03;-0,18;-0,06
0;28;0,9670486;0,03;-0,18;-0,06
0;29;0,9942226;0,03;-0,18;-0,06
0;30;1,024759;0,03;-0,18;-0,06
0;31;1,055326;0,03;-0,18;-0,06
0;32;1,08763;0,03;-0,18;-0,06
0;33;1,128492;0,03;-0,18;-0,06
0;34;1,156971;0,03;-0,18;-0,06
0;35;1,184884;0,03;-0,18;-0,06
0;36;1,217293;0,03;-0,18;-0,06
0;37;1,248337;0,03;-0,18;-0,06
0;38;1,290526;0,03;-0,18;-0,06
0;39;1,321998;0,03;-0,18;-0,06
0;40;1,356695;0,03;-0,18;-0,06
0;41;1,386497;0,03;-0,18;-0,06
0;42;1,413845;0,03;-0,18;-0,06
0;43;1,450291;0,03;-0,18;-0,06
0;44;1,476839;0,03;-0,18;-0,06
0;45;1,506978;0,03;-0,18;-0,06
0;46;1,537048;0,03;-0,18;-0,06
0;47;1,564287;0,03;-0,18;-0,06
0;48;1,602157;0,03;-0,18;-0,06
0;49;1,643147;0,03;-0,18;-0,06
0;50;1,6815;0,03;-0,18;-0,06
0;51;1,710456;0,03;-0,18;-0,06
0;52;1,737002;0,03;-0,18;-0,06
0;53;1,775077;0,03;-0,18;-0,06
0;54;1,802252;0,03;-0,18;-0,06
0;55;1,830084;0,03;-0,18;-0,06
0;56;1,861732;0,03;-0,18;-0,06
0;57;1,893001;0,03;-0,18;-0,06
0;58;1,947494;0,03;-0,18;-0,06
0;59;1,973914;0,03;-0,18;-0,06
0;60;2,004432;0,03;-0,18;-0,06
0;61;2,036274;0,03;-0,18;-0,06
0;62;2,066611;0,03;-0,18;-0,06
0;63;2,108142;0,03;-0,18;-0,06
0;64;2,136943;0,03;-0,18;-0,06
0;65;2,165335;0,03;-0,18;-0,06
0;66;2,196717;0,03;-0,18;-0,06
0;67;2,226536;0,03;-0,18;-0,06
0;68;2,263959;0,03;-0,18;-0,06
0;69;2,2935;0,03;-0,18;-0,06
0;70;2,351733;0,03;-0,18;-0,06
0;71;2,381591;0,03;-0,18;-0,06
0;72;2,420421;0,03;-0,18;-0,06
0;73;2,449107;0,03;-0,18;-0,06
0;74;2,479932;0,03;-0,18;-0,06
0;75;2,509793;0,03;-0,18;-0,06
0;76;2,556188;0,03;-0,18;-0,06
0;77;2,595628;0,03;-0,18;-0,06
0;78;2,623811;0,03;-0,18;-0,06
0;79;2,654248;0,03;-0,18;-0,06
0;80;2,684045;0,03;-0,18;-0,06
0;81;2,717008;0,03;-0,18;-0,06
0;82;2,757997;0,03;-0,18;-0,06
0;83;2,787778;0,03;-0,18;-0,06
0;84;2,818988;0,03;-0,18;-0,06
0;85;2,848893;0,03;-0,18;-0,06
0;86;2,887372;0,03;-0,18;-0,06
0;87;2,933764;0,03;-0,18;-0,06
0;88;2,969792;0,03;-0,18;-0,06
0;89;3,006436;0,03;-0,18;-0,06
0;90;3,043954;0,03;-0,18;-0,06
0;91;3,099139;0,03;-0,18;-0,06
0;92;3,153857;0,03;-0,18;-0,06
0;93;3,185874;0,03;-0,18;-0,06
0;94;3,220496;0,03;-0,18;-0,06
0;95;3,263108;0,03;-0,18;-0,06
0;96;3,293735;0,03;-0,18;-0,06
0;97;3,327512;0,03;-0,18;-0,06
0;98;3,360662;0,03;-0,18;-0,06
0;99;3,393811;0,03;-0,18;-0,06
0;100;3,436833;0,03;-0,18;-0,06
0;101;3,46696;0,03;-0,18;-0,06
0;102;3,500138;0,03;-0,18;-0,06
0;103;3,532489;0,03;-0,18;-0,06
0;104;3,562129;0,03;-0,18;-0,06
0;105;3,600501;0,03;-0,18;-0,06
0;106;3,630744;0,03;-0,18;-0,06
0;107;3,659606;0,03;-0,18;-0,06
0;108;3,689134;0,03;-0,18;-0,06
0;109;3,718535;0,03;-0,18;-0,06
0;110;3,758508;0,03;-0,18;-0,06
0;111;3,790147;0,03;-0,18;-0,06
0;112;3,820716;0,03;-0,18;-0,06
0;113;3,853473;0,03;-0,18;-0,06
0;114;3,881495;0,03;-0,18;-0,06
0;115;3,964189;0,03;-0,18;-0,06
0;116;3,993218;0,03;-0,18;-0,06
0;117;4,028787;0,03;-0,18;-0,06
0;118;4,05819;0,03;-0,18;-0,06
0;119;4,097196;0,03;-0,18;-0,06
0;120;4,12831;0,03;-0,18;-0,06
0;121;4,15849;0,03;-0,18;-0,06
0;122;4,190475;0,03;-0,18;-0,06
0;123;4,22269;0,03;-0,18;-0,06
0;124;4,265822;0,03;-0,18;-0,06
0;125;4,296121;0,03;-0,18;-0,06
0;126;4,325196;0,03;-0,18;-0,06
0;127;4,357938;0,03;-0,18;-0,06
0;128;4,388139;0,03;-0,18;-0,06
0;129;4,428081;0,03;-0,18;-0,06
0;130;4,456262;0,03;-0,18;-0,06
0;131;4,48433;0,03;-0,18;-0,06
0;132;4,514686;0,03;-0,18;-0,06
0;133;4,545022;0,03;-0,18;-0,06
0;134;4,583289;0,03;-0,18;-0,06
0;135;4,614011;0,03;-0,18;-0,06
0;136;4,642159;0,03;-0,18;-0,06
0;137;4,671918;0,03;-0,18;-0,06
0;138;4,700698;0,03;-0,18;-0,06
0;139;4,769485;0,03;-0,18;-0,06
0;140;4,797868;0,03;-0,18;-0,06
0;141;4,826518;0,03;-0,18;-0,06
0;142;4,856614;0,03;-0,18;-0,06
0;143;4,901822;0,03;-0,18;-0,06
0;144;4,934443;0,03;-0,18;-0,06
0;145;4,964734;0,03;-0,18;-0,06
0;146;4,993714;0,03;-0,18;-0,06
0;147;5,024173;0,03;-0,18;-0,06
0;148;5,06261;0,03;-0,18;-0,06
0;149;5,092647;0,03;-0,18;-0,06
0;150;5,124066;0,03;-0,18;-0,06
0;151;5,152158;0,03;-0,18;-0,06
0;152;5,182277;0,03;-0,18;-0,06
0;153;5,225369;0,03;-0,18;-0,06
0;154;5,251477;0,03;-0,18;-0,06
0;155;5,279128;0,03;-0,18;-0,06
0;156;5,306836;0,03;-0,18;-0,06
0;157;5,335959;0,03;-0,18;-0,06
0;158;5,377038;0,03;-0,18;-0,06
0;159;5,404418;0,03;-0,18;-0,06
0;160;5,433808;0,03;-0,18;-0,06
0;161;5,46263;0,03;-0,18;-0,06
0;162;5,490708;0,03;-0,18;-0,06
0;163;5,561557;0,03;-0,18;-0,06
0;164;5,589175;0,03;-0,18;-0,06
0;165;5,618779;0,03;-0,18;-0,06
0;166;5,648841;0,03;-0,18;-0,06
0;167;5,690085;0,03;-0,18;-0,06
0;168;5,716205;0,03;-0,18;-0,06
0;169;5,749204;0,03;-0,18;-0,06
0;170;5,780023;0,03;-0,18;-0,06
0;171;5,808928;0,03;-0,18;-0,06
0;172;5,856652;0,03;-0,18;-0,06
0;173;5,888459;0,03;-0,18;-0,06
0;174;5,917653;0,03;-0,18;-0,06
0;175;5,948211;0,03;-0,18;-0,06
0;176;5,978705;0,03;-0,18;-0,06
0;177;6,018262;0,03;-0,18;-0,06
0;178;6,045413;0,03;-0,18;-0,06
0;179;6,074361;0,03;-0,18;-0,06
0;180;6,102624;0,03;-0,18;-0,06
0;181;6,133874;0,03;-0,18;-0,06
0;182;6,172605;0,03;-0,18;-0,06
0;183;6,201354;0,03;-0,18;-0,06
0;184;6,232345;0,03;-0,18;-0,06
0;185;6,260827;0,03;-0,18;-0,06
0;186;6,290305;0,03;-0,18;-0,06
0;187;6,372027;0,03;-0,18;-0,06
0;188;6,399814;0,03;-0,18;-0,06
0;189;6,42801;0,03;-0,18;-0,06
0;190;6,458512;0,03;-0,18;-0,06
0;191;6,496835;0,03;-0,18;-0,06
0;192;6,526155;0,03;-0,18;-0,06
0;193;6,554599;0,03;-0,18;-0,06
0;194;6,583924;0,03;-0,18;-0,06
0;195;6,616422;0,03;-0,18;-0,06
0;196;6,657205;0,03;-0,18;-0,06
0;197;6,684358;0,03;-0,18;-0,06
0;198;6,713691;0,03;-0,18;-0,06
0;199;6,742074;0,03;-0,18;-0,06
0;200;6,772317;0,03;-0,18;-0,06
0;201;6,811494;0,03;-0,18;-0,06
0;202;6,849286;0,03;-0,18;-0,06
0;203;6,877133;0,03;-0,18;-0,06
0;204;6,906785;0,03;-0,18;-0,06
0;205;6,934718;0,03;-0,18;-0,06
0;206;6,975961;0,03;-0,18;-0,06
0;207;7,005788;0,03;-0,18;-0,06
0;208;7,034163;0,03;-0,18;-0,06
0;209;7,066577;0,03;-0,18;-0,06
0;210;7,097186;0,03;-0,18;-0,06
0;211;7,172229;0,03;-0,18;-0,06
0;212;7,199689;0,03;-0,18;-0,06
0;213;7,228412;0,03;-0,18;-0,06
0;214;7,258664;0,03;-0,18;-0,06
0;215;7,297069;0,03;-0,18;-0,06
0;216;7,326516;0,03;-0,18;-0,06
0;217;7,355586;0,03;-0,18;-0,06
0;218;7,384192;0,03;-0,18;-0,06
0;219;7,416177;0,03;-0,18;-0,06
0;220;7,453925;0,03;-0,18;-0,06
0;221;7,48388;0,03;-0,18;-0,06
0;222;7,513278;0,03;-0,18;-0,06
0;223;7,542865;0,03;-0,18;-0,06
0;224;7,57195;0,03;-0,18;-0,06
0;225;7,611867;0,03;-0,18;-0,06
0;226;7,64025;0,03;-0,18;-0,06
0;227;7,669528;0,03;-0,18;-0,06
0;228;7,70017;0,03;-0,18;-0,06
0;229;7,728858;0,03;-0,18;-0,06
0;230;7,768277;0,03;-0,18;-0,06
0;231;7,796782;0,03;-0,18;-0,06
0;232;7,83022;0,03;-0,18;-0,06
0;233;7,864181;0,03;-0,18;-0,06
0;234;7,893134;0,03;-0,18;-0,06
0;235;7,973256;0,03;-0,18;-0,06
0;236;8,002667;0,03;-0,18;-0,06
0;237;8,036046;0,03;-0,18;-0,06
0;238;8,065644;0,03;-0,18;-0,06
0;239;8,103314;0,03;-0,18;-0,06
0;240;8,132129;0,03;-0,18;-0,06
0;241;8,160373;0,03;-0,18;-0,06
0;242;8,189124;0,03;-0,18;-0,06
0;243;8,218797;0,03;-0,18;-0,06
0;244;8,259288;0,03;-0,18;-0,06
0;245;8,288089;0,03;-0,18;-0,06
0;246;8,318152;0,03;-0,18;-0,06
0;247;8,34703;0,03;-0,18;-0,06
0;248;8,376904;0,03;-0,18;-0,06
0;249;8,415257;0,03;-0,18;-0,06
0;250;8,444264;0,03;-0,18;-0,06
0;251;8,47264;0,03;-0,18;-0,06
0;252;8,501857;0,03;-0,18;-0,06
0;253;8,532784;0,03;-0,18;-0,06
0;254;8,570569;0,03;-0,18;-0,06
0;255;8,601289;0,03;-0,18;-0,06
0;256;8,631646;0,03;-0,18;-0,06
0;257;8,659831;0,03;-0,18;-0,06
0;258;8,688605;0,03;-0,18;-0,06
0;259;8,729573;0,03;-0,18;-0,06
0;260;8,765077;0,03;-0,18;-0,06
0;261;8,801461;0,03;-0,18;-0,06
0;262;8,83505;0,03;-0,18;-0,06
0;263;8,871585;0,03;-0,18;-0,06
0;264;8,908439;0,03;-0,18;-0,06
0;265;8,937032;0,03;-0,18;-0,06
0;266;8,968234;0,03;-0,18;-0,06
0;267;8,99676;0,03;-0,18;-0,06
0;268;9,02761;0,03;-0,18;-0,06
0;269;9,065724;0,03;-0,18;-0,06
0;270;9,096211;0,03;-0,18;-0,06
0;271;9,127763;0,03;-0,18;-0,06
0;272;9,156775;0,03;-0,18;-0,06
0;273;9,187686;0,03;-0,18;-0,06
0;274;9,22763;0,03;-0,18;-0,06
0;275;9,256831;0,03;-0,18;-0,06
0;276;9,287011;0,03;-0,18;-0,06
0;277;9,31611;0,03;-0,18;-0,06
0;278;9,345061;0,03;-0,18;-0,06
0;279;9,383117;0,03;-0,18;-0,06
0;280;9,411811;0,03;-0,18;-0,06
0;281;9,440919;0,03;-0,18;-0,06
0;282;9,469882;0,03;-0,18;-0,06
0;283;9,502702;0,03;-0,18;-0,06
0;284;9,543006;0,03;-0,18;-0,06
0;285;9,593539;0,03;-0,18;-0,06
0;286;9,623023;0,03;-0,18;-0,06
0;287;9,652862;0,03;-0,18;-0,06
0;288;9,692035;0,03;-0,18;-0,06
0;289;9,719726;0,03;-0,18;-0,06
0;290;9,761752;0,03;-0,18;-0,06
0;291;9,797498;0,03;-0,18;-0,06
0;292;9,82573;0,03;-0,18;-0,06
0;293;9,864301;0,03;-0,18;-0,06
0;294;9,893502;0,03;-0,18;-0,06
0;295;9,921712;0,03;-0,18;-0,06
0;296;9,953691;0,03;-0,18;-0,06
0;297;9,986409;0,03;-0,18;-0,06
0;298;10,02553;0,03;-0,18;-0,06
0;299;10,05485;0,03;-0,18;-0,06
0;300;10,08619;0,03;-0,18;-0,06
0;301;10,1148;0,03;-0,18;-0,06
0;302;10,14487;0,03;-0,18;-0,06
0;303;10,18327;0,03;-0,18;-0,06
0;304;10,21281;0,03;-0,18;-0,06
0;305;10,24129;0,03;-0,18;-0,06
