BlockID;TrialID;Config;DistanceFinal;PositionTargetX;PositionTargetY;PositionTargetZ;PositionFinalX;PositionFinalY;PositionFinalZ;RotationTarget;RotationFinal
0;0;6;0.3071;-2.3400;-0.3463;1.8112;-2.0709;-0.4138;1.6795;69.44381;69.44381
0;1;5;2.4128;0.7145;-1.2343;2.9356;-0.5107;0.1996;1.4309;269.2831;269.2831
0;2;3;0.1855;-2.7859;0.9418;1.3451;-2.7979;1.1144;1.2780;41.97747;41.97747
0;3;2;0.4971;-1.8172;1.2925;0.6049;-2.0319;1.7387;0.5607;239.0715;239.0715
0;4;1;2.1007;-1.2496;-0.8226;-1.7926;-0.8398;1.2187;-2.0717;173.3163;173.3163
0;5;4;2.4010;2.8148;1.0721;0.4902;0.9658;0.7713;-1.0116;278.2044;278.2044
0;6;0;0.4363;2.9192;-0.8629;-1.1930;3.1959;-0.5741;-1.3673;146.2693;146.2693
1;7;4;0.6844;1.6926;-0.7669;-2.7223;1.9441;-0.1333;-2.6612;255.9281;255.9281
1;8;2;2.2831;0.3340;-0.1984;-1.6955;1.2649;1.2579;-0.2037;317.892;317.892
1;9;0;3.7478;2.5831;-0.4249;1.4328;-0.6175;-0.0442;-0.4796;174.3345;174.3345
1;10;5;0.2712;-1.7138;1.0570;-2.8930;-1.5193;1.0723;-2.7046;44.53754;44.53754
1;11;1;0.2241;-0.6554;1.3480;-1.3529;-0.7578;1.5368;-1.4169;254.0622;254.0622
1;12;3;0.8111;1.4490;-1.0051;1.9086;1.6964;-0.2378;1.8197;247.683;247.683
1;13;6;0.4952;2.8286;-0.0130;-1.3410;2.8379;0.4582;-1.1892;122.1678;122.1678
2;14;0;0.1696;2.5736;1.3214;-1.7068;2.7093;1.3504;-1.8042;71.84732;71.84732
2;15;5;3.9489;1.9862;1.1136;-0.5272;0.6906;-1.1505;2.4375;133.984;133.984
2;16;2;0.5239;-0.3211;-0.1070;3.3207;-0.1504;0.3513;3.5088;138.7839;138.7839
2;17;1;2.7396;-0.9152;-1.2940;-1.8094;0.5974;0.9189;-2.3753;216.2521;216.2521
2;18;3;0.7416;1.1876;0.8474;-2.2079;0.4840;0.6463;-2.3279;276.7056;276.7056
2;19;6;3.0314;0.1699;-0.5458;-1.8734;0.1526;0.9687;0.7526;209.9423;209.9423
2;20;4;1.9672;-0.1179;-0.1117;2.5492;-2.0610;-0.1733;2.8498;222.1049;222.1049
